Date,Source,Campaign,Impressions,Spend,Clicks,AdGroup,Ad
2023-07-06,Facebook Ads,02.07.23wide_DE,8,0.08,0,wide,b4
2023-07-06,Google Ads,performancemax_eng_DE,22171,39.11,393,,
2023-07-06,Organic,,0,0.0,28,,
2023-07-06,Facebook Ads,05.07.23interests_DE,1,0.02,0,interest_work,b1
2023-07-06,Google Ads,gen_analyst_DE,148,8.82,8,,
2023-07-06,Google Ads,,0,0.0,0,,
2023-07-06,Facebook Ads,03.07.23women,56,0.41,0,women,b2
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,121,1.32,1,recentlymoved,b2
2023-07-06,Facebook Ads,05.07.23interests_DE,7,0.23,0,interest_work,b3
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,9,0.13,0,recentlymoved,b1
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,46,0.62,1,recentlymoved,b3
2023-07-06,Facebook Ads,05.07.23interests_DE,3,0.11,0,interest_dataanalytics,b1
2023-07-06,CRM,,0,0.0,0,,
2023-07-06,Facebook Ads,02.07.23wide_DE,687,12.42,24,wide,b3
2023-07-06,Tiktok Ads,12.07.2023wide_DE,2297,7.3,8,wide,v2
2023-07-06,Youtube Ads,,0,0.0,0,,
2023-07-06,Facebook Ads,05.07.23interests_DE,13,0.18,0,interest_dataanalytics,b3
2023-07-07,Bloggers,,0,0.0,0,,
2023-07-07,CRM,,0,0.0,0,,
2023-07-07,Facebook Ads,05.07.23interests_DE,46,1.1,0,interest_programming,b3
2023-07-07,Google Ads,,0,0.0,0,,
2023-07-07,Google Ads,performancemax_eng_DE,3859,10.46,120,,
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,7,0.16,0,recentlymoved,b1
2023-07-07,Facebook Ads,05.07.23interests_DE,18,0.12,0,interest_programming – Copy,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,23,0.3,0,interest_programming – Copy,b3
2023-07-07,Facebook Ads,05.07.23interests_DE,29,0.36,0,interest_dataanalytics – Copy,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,24,0.34,0,interest_dataanalytics – Copy,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,49,0.65,2,interest_work,b3
2023-07-07,Facebook Ads,05.07.23interests_DE,83,0.94,2,interest_work,b4
2023-07-07,Organic,,0,0.0,17,,
2023-07-07,Google Ads,gen_analyst_DE,190,25.85,26,,
2023-07-07,Telegram posts,,0,0.0,0,,
2023-07-07,Facebook Ads,05.07.23interests_DE,82,1.09,1,interest_dataanalytics,b3
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,623,8.59,6,recentlymoved,b2
2023-07-07,Facebook Ads,02.07.23wide_DE,17,0.35,0,wide,b2
2023-07-07,Facebook Ads,,0,0.0,0,,
2023-07-07,SMM,,0,0.0,7,,
2023-07-07,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_dataanalytics – Copy,b3
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,73,0.79,1,recentlymoved,b4
2023-07-07,Facebook Ads,07.07.23LAL_DE,375,6.54,7,LAL1,b3
2023-07-07,Facebook Ads,02.07.23wide_DE,1,0.04,0,wide,b1
2023-07-07,Facebook Ads,03.07.23women,18,0.2,1,women,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,10,0.14,0,interest_dataanalytics,b2
2023-07-07,Facebook Ads,05.07.23interests_DE,8,0.04,0,interest_dataanalytics,b4
2023-07-07,Facebook Ads,03.07.23women,1,0.02,0,women,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,3,0.02,0,interest_dataanalytics,b1
2023-07-07,Facebook Ads,02.07.23wide_DE,1062,14.78,31,wide,b3
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-07,Facebook Ads,05.07.23interests_DE,86,1.02,2,interest_programming – Copy,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,290,4.28,11,interest_work,b2
2023-07-07,Tiktok Ads,,0,0.0,0,,
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1
2023-07-07,Youtube Ads,,0,0.0,0,,
2023-07-07,Facebook Ads,03.07.23women,731,10.68,16,women,b3
2023-07-07,Facebook Ads,07.07.23LAL_DE,7,0.01,0,LAL1,b4
2023-07-07,Facebook Ads,02.07.23wide_DE,1,0.0,0,wide,b4
2023-07-07,Facebook Ads,05.07.23interests_DE,38,0.32,0,interest_programming,b4
2023-07-07,Facebook Ads,07.07.23LAL_DE,37,0.36,0,LAL1,b2
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,126,2.28,1,recentlymoved,b3
2023-07-08,Facebook Ads,02.07.23wide_DE,940,13.74,19,wide,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,70,0.92,1,interest_dataanalytics – Copy,b2
2023-07-08,Telegram posts,,0,0.0,0,,
2023-07-08,Tiktok Ads,,0,0.0,0,,
2023-07-08,Youtube Ads,,0,0.0,0,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,222,3.73,3,recentlymoved,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,14,0.22,0,interest_programming – Copy,b4
2023-07-08,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-08,Facebook Ads,05.07.23interests_DE,206,2.95,1,interest_work,b4
2023-07-08,Google Ads,,0,0.0,0,,
2023-07-08,Google Ads,performancemax_eng_DE,12723,32.22,463,,
2023-07-08,Facebook Ads,05.07.23interests_DE,290,3.55,5,interest_work,b2
2023-07-08,Organic,,0,0.0,41,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,3,0.01,0,recentlymoved,b1
2023-07-08,SMM,,0,0.0,0,,
2023-07-08,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_programming – Copy,b2
2023-07-08,Facebook Ads,,0,0.0,0,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,36,0.5,0,recentlymoved,b4
2023-07-08,Facebook Ads,07.07.23LAL_DE,33,0.36,3,LAL1,b2
2023-07-08,Facebook Ads,07.07.23LAL_DE,6,0.02,0,LAL1,b4
2023-07-08,Google Ads,gen_analyst_DE,234,54.16,52,,
2023-07-08,Facebook Ads,03.07.23women,1,0.0,0,women,b4
2023-07-08,Facebook Ads,05.07.23interests_DE,240,2.9,3,interest_work,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_dataanalytics – Copy,b3
2023-07-08,Facebook Ads,02.07.23wide_DE,23,0.17,2,wide,b2
2023-07-08,Facebook Ads,03.07.23women,21,0.07,0,women,b2
2023-07-08,Facebook Ads,05.07.23interests_DE,5,0.05,0,interest_programming – Copy,b3
2023-07-08,CRM,,0,0.0,0,,
2023-07-08,Bloggers,,0,0.0,0,,
2023-07-08,Facebook Ads,07.07.23LAL_DE,563,9.97,11,LAL1,b3
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,576,6.8,11,recentlymoved,b2
2023-07-08,Facebook Ads,03.07.23women,646,9.55,17,women,b3
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,127,1.7,3,recentlymoved,b3
2023-07-09,Facebook Ads,05.07.23interests_DE,2,0.04,0,interest_programming – Copy,b4
2023-07-09,Facebook Ads,05.07.23interests_DE,11,0.26,0,interest_programming – Copy,b2
2023-07-09,Facebook Ads,02.07.23wide_DE,36,0.61,0,wide,b2
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,719,8.48,21,recentlymoved,b2
2023-07-09,CRM,,0,0.0,0,,
2023-07-09,Bloggers,,0,0.0,0,,
2023-07-09,Facebook Ads,05.07.23interests_DE,102,1.12,2,interest_dataanalytics – Copy,b2
2023-07-09,SMM,,0,0.0,1,,
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,5,0.04,0,recentlymoved,b4
2023-07-09,Facebook Ads,05.07.23interests_DE,189,2.14,3,interest_work,b3
2023-07-09,Google Ads,gen_analyst_DE,303,59.88,58,,
2023-07-09,Facebook Ads,05.07.23interests_DE,73,0.68,2,interest_work,b4
2023-07-09,Organic,,0,0.0,17,,
2023-07-09,Telegram posts,,0,0.0,0,,
2023-07-09,Facebook Ads,07.07.23LAL_DE,61,1.0,2,LAL1,b2
2023-07-09,Facebook Ads,03.07.23women,2,0.01,0,women,b4
2023-07-09,Facebook Ads,07.07.23LAL_DE,660,10.43,11,LAL1,b3
2023-07-09,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1
2023-07-09,Facebook Ads,03.07.23women,52,0.42,0,women,b2
2023-07-09,Youtube Ads,,0,0.0,0,,
2023-07-09,Tiktok Ads,,0,0.0,0,,
2023-07-09,Facebook Ads,07.07.23LAL_DE,1,0.0,0,LAL1,b4
2023-07-09,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-09,Google Ads,,0,0.0,0,,
2023-07-09,Google Ads,performancemax_eng_DE,9846,24.45,416,,
2023-07-09,Facebook Ads,05.07.23interests_DE,2,0.02,0,interest_work,b1
2023-07-09,Facebook Ads,02.07.23wide_DE,924,13.54,19,wide,b3
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,3,0.13,1,recentlymoved,b1
2023-07-09,Facebook Ads,05.07.23interests_DE,533,6.1,6,interest_work,b2
2023-07-09,Facebook Ads,,0,0.0,0,,
2023-07-09,Facebook Ads,03.07.23women,568,8.82,8,women,b3
2023-07-10,Facebook Ads,05.07.23interests_DE,2,0.0,0,interest_dataanalytics,b3
2023-07-10,Facebook Ads,05.07.23interests_DE,439,4.24,8,interest_work,b2
2023-07-10,Facebook Ads,02.07.23wide_DE,1229,13.02,20,wide,b3
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,830,8.51,15,recentlymoved,b2
2023-07-10,Facebook Ads,07.07.23LAL_DE,966,11.18,16,LAL1,b3
2023-07-10,Facebook Ads,02.07.23wide_DE,30,0.19,0,wide,b2
2023-07-10,Facebook Ads,05.07.23interests_DE,1,0.01,0,interest_dataanalytics,b2
2023-07-10,Facebook Ads,03.07.23women,838,9.55,12,women,b3
2023-07-10,Google Ads,performancemax_eng_DE,12337,25.22,334,,
2023-07-10,Facebook Ads,,0,0.0,0,,
2023-07-10,Google Ads,gen_analyst_DE,231,59.96,39,,
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,0,0.0,0,recentlymoved,b1
2023-07-10,Organic,,0,0.0,25,,
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,98,1.66,1,recentlymoved,b3
2023-07-10,Google Ads,,0,0.0,0,,
2023-07-10,Facebook Ads,05.07.23interests_DE,58,0.49,0,interest_programming,b4
2023-07-10,Youtube Ads,,0,0.0,0,,
2023-07-10,Facebook Ads,05.07.23interests_DE,108,0.91,3,interest_programming,b2
2023-07-10,Facebook Ads,03.07.23women,39,0.26,0,women,b2
2023-07-10,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-10,Facebook Ads,05.07.23interests_DE,85,0.9,3,interest_work,b3
2023-07-10,Bloggers,,0,0.0,0,,
2023-07-10,CRM,,0,0.0,0,,
2023-07-10,Facebook Ads,07.07.23LAL_DE,1,0.0,0,LAL1,b1
2023-07-10,Facebook Ads,05.07.23interests_DE,173,1.66,7,interest_programming,b3
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,9,0.11,0,recentlymoved,b4
2023-07-10,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1
2023-07-10,Facebook Ads,05.07.23interests_DE,12,0.08,0,interest_programming,b1
2023-07-10,Telegram posts,,0,0.0,0,,
2023-07-10,Facebook Ads,05.07.23interests_DE,148,1.33,0,interest_work,b4
2023-07-10,SMM,,0,0.0,17,,
2023-07-10,Tiktok Ads,,0,0.0,0,,
2023-07-10,Facebook Ads,05.07.23interests_DE,58,0.8,1,interest_dataanalytics – Copy,b2
2023-07-10,Facebook Ads,07.07.23LAL_DE,53,0.44,0,LAL1,b2
2023-07-11,Youtube Ads,,0,0.0,0,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,25,0.28,0,wide,b4com
2023-07-11,Tiktok Ads,,0,0.0,0,,
2023-07-11,Facebook Ads,07.07.23LAL_DE,101,0.86,2,LAL1,b2
2023-07-11,Facebook Ads,04.07.23recentlymoved_DE,20,0.29,1,recentlymoved,b3
2023-07-11,Facebook Ads,05.07.23interests_DE,7,0.14,0,interest_programming,b4
2023-07-11,SMM,,0,0.0,5,,
2023-07-11,Facebook Ads,03.07.23women,1,0.0,0,women,b2
2023-07-11,Organic,,0,0.0,29,,
2023-07-11,Facebook Ads,05.07.23interests_DE,24,0.19,0,interest_programming,b2
2023-07-11,Telegram posts,,0,0.0,0,,
2023-07-11,Facebook Ads,05.07.23interests_DE,13,0.12,1,interest_programming,b1
2023-07-11,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-11,Facebook Ads,04.07.23recentlymoved_DE,863,9.89,20,recentlymoved,b2
2023-07-11,Google Ads,,0,0.0,0,,
2023-07-11,Facebook Ads,05.07.23interests_DE,755,8.64,13,interest_programming,b3
2023-07-11,Google Ads,gen_analyst_DE,325,39.98,32,,
2023-07-11,Google Ads,performancemax_eng_DE,9316,24.44,272,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,130,2.38,0,wide,b3com
2023-07-11,Facebook Ads,02.07.23wide_DE,107,1.46,4,wide,b2
2023-07-11,Facebook Ads,02.07.23wide_DE,865,11.05,18,wide,b3
2023-07-11,Facebook Ads,10.07.23wide_com_DE,114,1.43,4,wide,b2com
2023-07-11,Facebook Ads,,0,0.0,0,,
2023-07-11,Bloggers,,0,0.0,0,,
2023-07-11,Facebook Ads,10.07.23wide_com_DE,5,0.02,0,wide,b1com
2023-07-11,Facebook Ads,07.07.23LAL_DE,653,8.66,12,LAL1,b3
2023-07-11,CRM,,0,0.0,0,,
2023-07-11,Facebook Ads,03.07.23women,725,9.94,21,women,b3
2023-07-12,Facebook Ads,05.07.23interests_DE,1119,8.87,17,interest_programming,b3
2023-07-12,Facebook Ads,05.07.23interests_DE,3,0.02,0,interest_programming,b1
2023-07-12,Google Ads,performancemax_eng_DE,14131,26.84,434,,
2023-07-12,Google Ads,gen_analyst_DE,71,12.7,5,,
2023-07-12,Google Ads,,0,0.0,0,,
2023-07-12,Facebook Ads,10.07.23wide_com_DE,6,0.1,0,wide,b1com
2023-07-12,Organic,,0,0.0,58,,
2023-07-12,Facebook Ads,10.07.23wide_com_DE,42,1.0,0,wide,b3com
2023-07-12,Facebook Ads,02.07.23wide_DE,193,2.1,6,wide,b2
2023-07-12,Facebook Ads,03.07.23women,14,0.1,0,women,b2
2023-07-12,Youtube Ads,,0,0.0,0,,
2023-07-12,Facebook Ads,07.07.23LAL_DE,205,2.28,2,LAL1,b2
2023-07-12,Tiktok Ads,,0,0.0,0,,
2023-07-12,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-12,Facebook Ads,04.07.23recentlymoved_DE,1,0.01,0,recentlymoved,b3
2023-07-12,Facebook Ads,10.07.23wide_com_DE,8,0.14,0,wide,b4com
2023-07-12,Facebook Ads,07.07.23LAL_DE,505,6.53,14,LAL1,b3
2023-07-12,CRM,,0,0.0,0,,
2023-07-12,Bloggers,,0,0.0,0,,
2023-07-12,Facebook Ads,02.07.23wide_DE,800,9.59,11,wide,b3
2023-07-12,Facebook Ads,04.07.23recentlymoved_DE,991,9.2,15,recentlymoved,b2
2023-07-12,Facebook Ads,05.07.23interests_DE,7,0.08,0,interest_programming,b2
2023-07-12,Facebook Ads,,0,0.0,0,,
2023-07-12,SMM,,0,0.0,16,,
2023-07-12,Telegram posts,,911,4.25,28,,
2023-07-12,Telegram posts,,0,0.0,0,,
2023-07-12,Facebook Ads,10.07.23wide_com_DE,515,6.82,11,wide,b2com
2023-07-12,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1
2023-07-12,Facebook Ads,03.07.23women,666,8.52,11,women,b3
2023-07-13,Facebook Ads,03.07.23women,573,8.68,16,women,b3
2023-07-13,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1
2023-07-13,Tiktok Ads,,0,0.0,0,,
2023-07-13,Facebook Ads,10.07.23wide_com_DE,651,7.93,10,wide,b2com
2023-07-13,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-13,Facebook Ads,10.07.23wide_com_DE,4,0.05,0,wide,b4com
2023-07-13,Youtube Ads,,0,0.0,0,,
2023-07-13,Facebook Ads,07.07.23LAL_DE,178,2.52,3,LAL1,b2
2023-07-13,Facebook Ads,04.07.23recentlymoved_DE,4,0.02,0,recentlymoved,b3
2023-07-13,Facebook Ads,07.07.23LAL_DE,382,6.94,7,LAL1,b3
2023-07-13,Facebook Ads,10.07.23wide_com_DE,15,0.32,0,wide,b3com
2023-07-13,Bloggers,,0,0.0,0,,
2023-07-13,Facebook Ads,05.07.23interests_DE,20,0.19,0,interest_programming,b2
2023-07-13,Facebook Ads,,0,0.0,0,,
2023-07-13,Organic,,0,0.0,89,,
2023-07-13,Facebook Ads,03.07.23women,4,0.01,0,women,b2
2023-07-13,SMM,,0,0.0,16,,
2023-07-13,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_programming,b1
2023-07-13,Telegram posts,,507,4.25,25,,
2023-07-13,Telegram posts,,0,0.0,0,,
2023-07-13,Facebook Ads,04.07.23recentlymoved_DE,882,9.07,13,recentlymoved,b2
2023-07-13,Facebook Ads,02.07.23wide_DE,689,8.8,12,wide,b3
2023-07-13,Facebook Ads,02.07.23wide_DE,208,2.53,6,wide,b2
2023-07-13,Google Ads,,0,0.0,0,,
2023-07-13,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_work,b2
2023-07-13,CRM,,0,0.0,0,,
2023-07-13,Facebook Ads,05.07.23interests_DE,658,8.16,13,interest_programming,b3
2023-07-13,Facebook Ads,10.07.23wide_com_DE,10,0.13,0,wide,b1com
2023-07-13,Google Ads,performancemax_eng_DE,23636,48.12,592,,
2023-07-14,Facebook Ads,10.07.23wide_com_DE,8,0.06,0,wide,b3com
2023-07-14,Organic,,0,0.0,81,,
2023-07-14,Facebook Ads,05.07.23interests_DE,768,8.46,13,interest_programming,b3
2023-07-14,SMM,,0,0.0,1,,
2023-07-14,Facebook Ads,07.07.23LAL_DE,338,4.3,4,LAL1,b2
2023-07-14,Telegram posts,,6061,24.25,40,,
2023-07-14,Facebook Ads,04.07.23recentlymoved_DE,2,0.02,0,recentlymoved,b3
2023-07-14,Telegram posts,,0,0.0,0,,
2023-07-14,Facebook Ads,10.07.23wide_com_DE,1,0.0,0,wide,b1com
2023-07-14,Google Ads,,0,0.0,0,,
2023-07-14,Facebook Ads,03.07.23women,686,8.81,15,women,b3
2023-07-14,Bloggers,,0,0.0,0,,
2023-07-14,Facebook Ads,03.07.23women,1,0.0,0,women,b2
2023-07-14,Google Ads,performancemax_eng_DE,44133,77.5,709,,
2023-07-14,Facebook Ads,05.07.23interests_DE,2,0.04,0,interest_programming,b1
2023-07-14,CRM,,0,0.0,0,,
2023-07-14,Tiktok Ads,12.07.2023wide_DE,1936,9.86,17,wide,v6com
2023-07-14,Facebook Ads,04.07.23recentlymoved_DE,852,8.86,12,recentlymoved,b2
2023-07-14,Facebook Ads,10.07.23wide_com_DE,5,0.04,0,wide,b4com
2023-07-14,Facebook Ads,10.07.23wide_com_DE,691,9.0,12,wide,b2com
2023-07-14,Facebook Ads,02.07.23wide_DE,422,7.32,12,wide,b3
2023-07-14,Youtube Ads,,0,0.0,0,,
2023-07-14,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2
2023-07-14,Tiktok Ads,,0,0.0,0,,
2023-07-14,Facebook Ads,,0,0.0,0,,
2023-07-14,Facebook Ads,02.07.23wide_DE,356,3.84,3,wide,b2
2023-07-14,Tiktok Ads,12.07.2023wide_DE,971,3.57,5,wide,v5
2023-07-14,Facebook Ads,07.07.23LAL_DE,341,4.51,6,LAL1,b3
2023-07-14,Tiktok Ads,12.07.2023wide_DE,150,0.98,0,wide,v4com
2023-07-14,Facebook Ads,05.07.23interests_DE,15,0.11,0,interest_programming,b2
2023-07-14,Tiktok Ads,12.07.2023wide_DE,263,1.33,2,wide,v3com
2023-07-15,Facebook Ads,04.07.23recentlymoved_DE,802,8.38,13,recentlymoved,b2
2023-07-15,Tiktok Ads,12.07.2023wide_DE,263,1.6,1,wide,v5
2023-07-15,Facebook Ads,07.07.23LAL_DE,522,6.43,10,LAL1,b3
2023-07-15,Facebook Ads,10.07.23wide_com_DE,731,8.57,11,wide,b2com
2023-07-15,Tiktok Ads,12.07.2023wide_DE,3043,14.47,30,wide,v6com
2023-07-15,Telegram posts,,0,0.0,0,,
2023-07-15,Facebook Ads,05.07.23interests_DE,1,0.02,0,interest_programming,b4
2023-07-15,Tiktok Ads,,0,0.0,0,,
2023-07-15,Facebook Ads,04.07.23recentlymoved_DE,7,0.1,1,recentlymoved,b3
2023-07-15,Facebook Ads,10.07.23wide_com_DE,2,0.02,1,wide,b1com
2023-07-15,Facebook Ads,10.07.23wide_com_DE,6,0.14,0,wide,b3com
2023-07-15,CRM,,0,0.0,0,,
2023-07-15,Facebook Ads,03.07.23women,605,8.18,18,women,b3
2023-07-15,Google Ads,,0,0.0,0,,
2023-07-15,Facebook Ads,10.07.23wide_com_DE,1,0.0,0,wide,b4com
2023-07-15,Facebook Ads,05.07.23interests_DE,814,8.12,13,interest_programming,b3
2023-07-15,Google Ads,performancemax_eng_DE,46099,78.87,588,,
2023-07-15,Facebook Ads,,0,0.0,0,,
2023-07-15,Telegram posts,,904,4.25,24,,
2023-07-15,SMM,,0,0.0,3,,
2023-07-15,Organic,,0,0.0,57,,
2023-07-15,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_programming,b2
2023-07-15,Facebook Ads,02.07.23wide_DE,242,3.07,6,wide,b2
2023-07-15,Facebook Ads,07.07.23LAL_DE,256,2.35,6,LAL1,b2
2023-07-15,Tiktok Ads,12.07.2023wide_DE,710,3.66,8,wide,v3com
2023-07-15,Facebook Ads,03.07.23women,31,0.24,1,women,b2
2023-07-15,Youtube Ads,,0,0.0,0,,
2023-07-15,Facebook Ads,02.07.23wide_DE,595,7.99,12,wide,b3
2023-07-15,Facebook Ads,05.07.23interests_DE,3,0.05,0,interest_programming,b1
2023-07-15,Facebook Ads,04.07.23recentlymoved_DE,1,0.02,0,recentlymoved,b1
2023-07-15,Tiktok Ads,12.07.2023wide_DE,335,2.2,4,wide,v4com
2023-07-15,Bloggers,,0,0.0,0,,
2023-07-16,Bloggers,,0,0.0,0,,
2023-07-16,Facebook Ads,,0,0.0,0,,
